text,sentiment,labels
Dragon Crisis!,neutral,1
91 Days,positive,2
Yuru Yuri,positive,2
Hetalia Axis Powers,positive,2
Pupa,negative,0
Kokoro ga Sakebitagatterunda.,positive,2
Toradora!,positive,2
Macross,positive,2
Haikyuu!!,positive,2
Bishoujo Senshi Sailor Moon S,positive,2
The Rapeman,neutral,1
Chrome Shelled Regios,positive,2
Howl no Ugoku Shiro,negative,0
Shining Hearts: Shiawase no Pan,neutral,1
Shokugeki no Souma,positive,2
Golden Time,positive,2
Tetsuwan Birdy Decode:02,positive,2
Kimi ni Todoke,positive,2
Pokemon Advanced Generation: Pokemon Ranger to Umi no Ouji Manaphy,positive,2
Jigoku Shoujo,positive,2
C: The Money of Soul and Possibility Control,positive,2
Kanokon: Manatsu no Dai Shanikusai,negative,0
Bakugan Battle Brawlers,positive,2
Durarara!!x2 Shou,positive,2
Karin,positive,2
Kiss x Sis (TV),positive,2
Nodame Cantabile,negative,0
Clannad,positive,2
Cross Ange: Tenshi to Ryuu no Rondo,positive,2
Nyan Koi!,neutral,1
High School DxD OVA,positive,2
Steins;Gate,negative,0
Little Busters!: Refrain,positive,2
Tenshi na Konamaiki,positive,2
"Prince of Tennis: The Two Samurai, The First Game",negative,0
Seitokai no Ichizon Lv.2,positive,2
Hidamari Sketch Specials,positive,2
Tokyo Ghoul √A,positive,2
Kara no Kyoukai 5: Mujun Rasen,positive,2
Psycho-Pass Movie,positive,2
Btooom!,positive,2
Durarara!!x2 Shou,negative,0
Asa made Jugyou Chu!,negative,0
New Prince of Tennis Specials,negative,0
Stringendo: Angel-tachi no Private Lesson,positive,2
Nisekoi,positive,2
Sukitte Ii na yo.,negative,0
Higurashi no Naku Koro ni Kai Specials,negative,0
Hungry Heart: Wild Striker,positive,2
Gosick,positive,2
Full Metal Panic? Fumoffu,neutral,1
Bakemonogatari,neutral,1
Steins;Gate,positive,2
Machine-Doll wa Kizutsukanai,positive,2
Appleseed (Movie),positive,2
Hyakko OVA,negative,0
Mayo Chiki!,negative,0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,positive,2
Macross F,positive,2
Shakugan no Shana SP: Koi to Onsen no Kougai Gakushuu!,positive,2
Gyakkyou Burai Kaiji: Ultimate Survivor,neutral,1
Ookami to Koushinryou II,positive,2
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,positive,2
Majo no Takkyuubin,positive,2
Loveless,positive,2
Sekai Meisaku Douwa: Mori wa Ikiteiru,positive,2
Kure-nai,positive,2
Overlord,neutral,1
Baccano!,positive,2
Fate/Zero,negative,0
Shirobako,negative,0
K-On!,positive,2
Non Non Biyori: Okinawa e Ikukoto ni Natta,positive,2
Mawaru Penguindrum,positive,2
Vampire Knight,negative,0
Kono Minikuku mo Utsukushii Sekai,neutral,1
Kuroshitsuji Special,positive,2
InuYasha,positive,2
Tengen Toppa Gurren Lagann,positive,2
Namiuchigiwa no Muromi-san,positive,2
Xenosaga The Animation,negative,0
Aki-Sora: Yume no Naka,positive,2
Kara no Kyoukai 5: Mujun Rasen,positive,2
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,positive,2
Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,positive,2
Hamatora The Animation,negative,0
Fullmetal Alchemist,positive,2
Vampire Knight,positive,2
Mahou Shoujo Lyrical Nanoha,positive,2
Fate/Zero 2nd Season,positive,2
Death Note,positive,2
Death Parade,positive,2
Shingeki no Kyojin OVA,positive,2
Morita-san wa Mukuchi,neutral,1
Sacred Seven,positive,2
Bokurano,positive,2
Jigoku Shoujo,positive,2
Code Geass: Hangyaku no Lelouch R2,positive,2
Baka to Test to Shoukanjuu,positive,2
Yumeria,negative,0
Itazura na Kiss,positive,2
Steins;Gate,negative,0
IS: Infinite Stratos,positive,2
Genshiken 2,neutral,1
Nodame Cantabile Finale,negative,0
Pokemon: Maboroshi no Pokemon Lugia Bakutan,positive,2
Samurai Champloo,negative,0
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,positive,2
Onegai☆Teacher,positive,2
Deadman Wonderland,negative,0
Akaneiro ni Somaru Saka,negative,0
Mahou Sensei Negima!,neutral,1
Wakaba*Girl,neutral,1
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,positive,2
Gosick,positive,2
Zombie-Loan Specials,negative,0
Sen to Chihiro no Kamikakushi,positive,2
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,positive,2
Danshi Koukousei no Nichijou Specials,positive,2
SKET Dance: Demystifying Special,neutral,1
Cowboy Bebop: Tengoku no Tobira,positive,2
Pokemon: Pika Pika Hoshizora Camp,negative,0
Tanoshii Muumin Ikka Bouken Nikki,negative,0
High School DxD New,negative,0
Hyouka,positive,2
Rurouni Kenshin: Meiji Kenkaku Romantan,positive,2
Binan Koukou Chikyuu Bouei-bu LOVE!,positive,2
Elfen Lied,positive,2
Hai to Gensou no Grimgar,positive,2
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,positive,2
Boku wa Tomodachi ga Sukunai Next,negative,0
Ergo Proxy,negative,0
Eureka Seven,negative,0
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,positive,2
Wolf&#039;s Rain,neutral,1
Fullmetal Alchemist,neutral,1
Zero no Tsukaima F,positive,2
Wonderful Rush,positive,2
Gingitsune,positive,2
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,positive,2
Shingeki no Kyojin,positive,2
DNA² OVA,positive,2
Ikoku Irokoi Romantan,positive,2
Haikyuu!!,positive,2
Byousoku 5 Centimeter,positive,2
Fuujin Monogatari,positive,2
Recorder to Randoseru Re♪,positive,2
Kimi to Boku. 2,positive,2
Waver,positive,2
Naruto: The Cross Roads,neutral,1
Kanojo ga Flag wo Oraretara,negative,0
Mobile Suit Gundam Seed Destiny Final Plus: The Chosen Future,neutral,1
Yakitate!! Japan,positive,2
Fortune Arterial: Akai Yakusoku,negative,0
Evangelion: 1.0 You Are (Not) Alone,positive,2
Pandora Hearts,positive,2
Suzumiya Haruhi no Yuuutsu,positive,2
Maburaho,positive,2
Uta no☆Prince-sama♪ Maji Love 1000%,negative,0
Kore wa Zombie Desu ka? of the Dead,positive,2
Mobile Fighter G Gundam,positive,2
Amaenaide yo!! Katsu!!,positive,2
Bokusatsu Tenshi Dokuro-chan 2,negative,0
Neo Angelique Abyss,positive,2
Hanamonogatari,positive,2
Pokemon Fushigi no Dungeon: Sora no Tankentai - Toki to Yami wo Meguru Saigo no Bouken,negative,0
Rakudai Kishi no Cavalry,neutral,1
Elfen Lied Special,negative,0
Chuunibyou demo Koi ga Shitai! Ren,positive,2
Itsuka Tenma no Kuro Usagi,negative,0
Asobi ni Iku yo!,positive,2
Shugo Chara!,negative,0
Higurashi no Naku Koro ni Kai,positive,2
Sankarea,positive,2
Mikakunin de Shinkoukei,positive,2
Danna ga Nani wo Itteiru ka Wakaranai Ken,positive,2
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,negative,0
Sakurasou no Pet na Kanojo,positive,2
Gintama&#039;: Enchousen,positive,2
Mamoru-kun ni Megami no Shukufuku wo!,negative,0
Kannagi,positive,2
Tokyo Ghoul √A,negative,0
Kokoro Connect,positive,2
Kiniro no Corda: Primo Passo,negative,0
Kiseijuu: Sei no Kakuritsu,positive,2
Hataraku Maou-sama!,negative,0
Slayers Next,negative,0
Evangelion: 1.0 You Are (Not) Alone,positive,2
D-Frag!,neutral,1
Higurashi no Naku Koro ni Rei,positive,2
Nanatsu no Taizai OVA,positive,2
Mirai Nikki (TV),negative,0
xxxHOLiC,positive,2
Rosario to Vampire Capu2,negative,0
Sekirei: Pure Engagement,positive,2
Highschool of the Dead,positive,2
Hayate no Gotoku! Cuties,positive,2
Hentai Ouji to Warawanai Neko.,positive,2
Psycho-Pass,positive,2
Tekken: Blood Vengeance,neutral,1
Ai wa KAT-TUN,neutral,1
Tengen Toppa Gurren Lagann,positive,2
Initial D Fourth Stage,positive,2
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,positive,2
Jormungand: Perfect Order,neutral,1
Toaru Majutsu no Index,positive,2
Nekomonogatari: Kuro,positive,2
Monogatari Series: Second Season,positive,2
Kuusen Madoushi Kouhosei no Kyoukan,positive,2
Kimi ni Todoke 2nd Season,positive,2
Memories,neutral,1
Mob Psycho 100,positive,2
Detective Conan Movie 16: The Eleventh Striker,positive,2
Mobile Suit Gundam 00,positive,2
Great Teacher Onizuka,positive,2
Trigun,positive,2
Sekaiichi Hatsukoi,neutral,1
Steins;Gate,positive,2
Blood: The Last Vampire,positive,2
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),positive,2
Densetsu no Yuusha no Densetsu,positive,2
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,positive,2
Junketsu no Maria,positive,2
Ghost in the Shell,positive,2
Yu☆Gi☆Oh! (1999),negative,0
Rozen Maiden: Träumend,negative,0
Fairy Tail,positive,2
Turn A Gundam,positive,2
Busou Shinki,negative,0
Zettai Bouei Leviathan,neutral,1
Mitsubachi Maya no Bouken,negative,0
"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",negative,0
InuYasha,positive,2
Air,positive,2
Persona 3 the Movie 1: Spring of Birth,positive,2
Summer Wars,positive,2
Jormungand,positive,2
Grenadier: Hohoemi no Senshi Specials,positive,2
Tsukuyomi: Moon Phase,positive,2
MM!,positive,2
Naruto,positive,2
Zetsuen no Tempest,positive,2
Saenai Heroine no Sodatekata,positive,2
Yu☆Gi☆Oh! Duel Monsters,positive,2
Asobi ni Iku yo!,positive,2
Aa! Megami-sama!: Sorezore no Tsubasa,positive,2
Zombie-Loan,neutral,1
Fruits Basket,positive,2
Ao no Exorcist: Kuro no Iede,positive,2
Full Metal Panic? Fumoffu,positive,2
Yamada-kun to 7-nin no Majo (TV),negative,0
Boku wa Tomodachi ga Sukunai,positive,2
Chobits Recap,negative,0
Fate/stay night: Unlimited Blade Works,positive,2
Dragon Ball Z,positive,2
Date A Live,positive,2
Inu x Boku SS,positive,2
Baccano!,negative,0
Initial D Fourth Stage,negative,0
Hokuto no Ken: Raoh Gaiden Ten no Haoh,positive,2
Death Note,positive,2
Hataraku Maou-sama!,negative,0
Btooom!,neutral,1
Kami nomi zo Shiru Sekai II,positive,2
Carnival Phantasm: Illya-jou,positive,2
Naruto: Shippuuden Movie 4 - The Lost Tower,negative,0
Shinreigari: Ghost Hound,positive,2
Sennen Joyuu,positive,2
Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,positive,2
Re:Zero kara Hajimeru Isekai Seikatsu,positive,2
Seiken Tsukai no World Break,positive,2
Photokano,positive,2
Pokemon,positive,2
Ouran Koukou Host Club,negative,0
Uta no☆Prince-sama♪ Maji Love 1000%,neutral,1
Sakurasou no Pet na Kanojo,positive,2
Seikon no Qwaser II,positive,2
Gyakkyou Burai Kaiji: Ultimate Survivor,positive,2
Sayonara Zetsubou Sensei,positive,2
Doraemon Movie 06: Nobita no Little Star Wars,negative,0
Vandread,negative,0
Freezing,positive,2
Kaze no Tani no Nausicaä,positive,2
Detroit Metal City,positive,2
Rozen Maiden,positive,2
Happy☆Lesson (TV),negative,0
Dimension W,positive,2
Noir,positive,2
Mekakucity Actors,positive,2
Prince of Tennis,positive,2
Fullmetal Alchemist,positive,2
Chobits,positive,2
Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki&#039;s Case Files,negative,0
Kill la Kill,positive,2
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,negative,0
"Wake Up, Girls!",neutral,1
Hagure Yuusha no Aesthetica,negative,0
Phantom: Requiem for the Phantom,neutral,1
Dansai Bunri no Crime Edge,positive,2
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",positive,2
Log Horizon,negative,0
Okusama ga Seitokaichou!,negative,0
Kara no Kyoukai 3: Tsuukaku Zanryuu,positive,2
Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,neutral,1
Kaichou wa Maid-sama!: Omake dayo!,negative,0
Free!: Eternal Summer,positive,2
Hikaru no Go,positive,2
Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,positive,2
Kuroshitsuji Picture Drama,positive,2
Monster Musume no Iru Nichijou,positive,2
Sola,positive,2
School Days,negative,0
Angel Beats!,negative,0
Owari no Seraph,positive,2
Bishoujo Senshi Sailor Moon R: The Movie,neutral,1
Ghost in the Shell: Stand Alone Complex 2nd GIG,positive,2
Bamboo Blade,positive,2
Noragami Aragoto,positive,2
Mayoiga,negative,0
Ookami to Koushinryou II Specials,negative,0
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,positive,2
Shakugan no Shana II (Second),positive,2
Date A Live II,positive,2
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,positive,2
Genocyber,negative,0
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,positive,2
Yonhyakunijuu Renpai Girl,negative,0
Maria-sama ga Miteru,negative,0
Bakuman. 2nd Season,negative,0
Taisei Kensetsu: Sri Lanka Kousokudouro,negative,0
Usagi Drop Specials,positive,2
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA",neutral,1
Yuru Yuri,positive,2
Kokoro Connect: Michi Random,positive,2
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,negative,0
Tenkuu no Escaflowne,positive,2
Amatsuki,positive,2
Gosick,positive,2
Detective Conan Movie 05: Countdown to Heaven,negative,0
"Wake Up, Girls!",positive,2
Suzumiya Haruhi no Yuuutsu,positive,2
Code Geass: Hangyaku no Lelouch R2,positive,2
Natsu-iro Kiseki: 15-kaime no Natsuyasumi,positive,2
Hellsing,negative,0
"Kumo no Mukou, Yakusoku no Basho",positive,2
Kara no Kyoukai 1: Fukan Fuukei,negative,0
Nanatsu no Taizai,neutral,1
Tenkuu no Escaflowne,positive,2
Byousoku 5 Centimeter,positive,2
Berserk,positive,2
Oda Nobuna no Yabou,positive,2
Nogizaka Haruka no Himitsu,neutral,1
Gake no Ue no Ponyo,negative,0
B Gata H Kei,positive,2
Dimension W,positive,2
Rosario to Vampire,neutral,1
Sword Art Online,positive,2
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",neutral,1
Amagami SS: Tachibana Miya-hen - Imouto,positive,2
Rurouni Kenshin Recap,positive,2
Toaru Majutsu no Index: Endymion no Kiseki,positive,2
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,neutral,1
Shinmai Maou no Testament OVA,positive,2
Monster,positive,2
Koe de Oshigoto! The Animation,negative,0
Fullmetal Alchemist,positive,2
Kurenai no Buta,negative,0
Hakushaku to Yousei,positive,2
Kara no Kyoukai 3: Tsuukaku Zanryuu,positive,2
Psycho-Pass,positive,2
Neon Genesis Evangelion,positive,2
Eureka Seven: Pocket ga Niji de Ippai,negative,0
Yozakura Quartet: Hana no Uta,positive,2
Tonari no Kaibutsu-kun,positive,2
Naruto: Shippuuden Movie 1,negative,0
Death Billiards,positive,2
Fate/stay night Movie: Unlimited Blade Works,positive,2
Nisemonogatari,positive,2
Ouran Koukou Host Club,negative,0
Black Lagoon,positive,2
High School DxD OVA,positive,2
Eve no Jikan,negative,0
Fate/Prototype,positive,2
Ookamikakushi,negative,0
Mahouka Koukou no Rettousei,positive,2
Hachimitsu to Clover,negative,0
Kanon (2006),positive,2
Yamada-kun to 7-nin no Majo (TV),positive,2
Dance in the Vampire Bund,negative,0
Dragon Ball Z Movie 14: Kami to Kami,positive,2
Final Fantasy VII: Advent Children Complete,positive,2
Maken-Ki!,positive,2
Air Gear,positive,2
Dragon Ball GT,positive,2
Omamori Himari,positive,2
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,neutral,1
Samurai Girl Real Bout High School,neutral,1
Hunter x Hunter (2011),positive,2
Nyan Koi!,positive,2
Vampire Knight Guilty,positive,2
Pokemon: Mizu no Miyako no Mamorigami Latias to Latios,positive,2
Saber Marionette J Again,negative,0
Yuru Yuri♪♪,positive,2
Kimi ga Aruji de Shitsuji ga Ore de,positive,2
Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,positive,2
Akame ga Kill!,neutral,1
Paprika,positive,2
Kiss x Sis (TV),neutral,1
Seikon no Qwaser II,negative,0
Kuragehime,positive,2
Weiß Kreuz OVA,positive,2
Kill Me Baby,neutral,1
Ai Yori Aoshi,positive,2
Nisemonogatari,negative,0
Darker than Black: Kuro no Keiyakusha,negative,0
Rekka no Honoo,positive,2
Dragon Ball Z Movie 15: Fukkatsu no F,positive,2
Kiss x Sis (TV),positive,2
Makai Tenshou,negative,0
Bakuman.,positive,2
GetBackers,neutral,1
Soukihei MD Geist,positive,2
Shakugan no Shana S,negative,0
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,positive,2
Mezame no Hakobune,positive,2
Full Metal Panic! The Second Raid,positive,2
Danna ga Nani wo Itteiru ka Wakaranai Ken,positive,2
Kazemakase Tsukikage Ran,positive,2
Baby Steps 2nd Season,positive,2
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desukara,positive,2
Kaze no Stigma,positive,2
Bleach Movie 4: Jigoku-hen,positive,2
Midori no Hibi,positive,2
Towa no Quon 5: Souzetsu no Raifuku,negative,0
Clannad,negative,0
Kakurenbo,positive,2
Mach GoGoGo,neutral,1
Gintama°,positive,2
FLCL,positive,2
Samurai Champloo,positive,2
Egomama,neutral,1
Sentakuya Shin-chan,positive,2
Shakugan no Shana III (Final),positive,2
Pokemon Advanced Generation: Nanayo no Negaiboshi Jirachi,positive,2
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,positive,2
Tenchi Muyou! in Love,positive,2
"Dakara Boku wa, H ga Dekinai.",neutral,1
Free!: Eternal Summer,negative,0
Tonari no Kaibutsu-kun,positive,2
Saenai Heroine no Sodatekata: Ai to Seishun no Service Kai,neutral,1
Tonari no Totoro,positive,2
Guilty Crown,positive,2
Usagi Drop Specials,positive,2
Shigatsu wa Kimi no Uso,negative,0
Ookami to Koushinryou II,negative,0
Aoki Hagane no Arpeggio: Ars Nova,positive,2
xxxHOLiC,positive,2
Evangelion: 2.0 You Can (Not) Advance,positive,2
Digimon Adventure 02,positive,2
Yu☆Gi☆Oh!,positive,2
Digimon Frontier,neutral,1
Ansatsu Kyoushitsu (TV),positive,2
Enbo,positive,2
Love Live! School Idol Project,negative,0
Koe de Oshigoto! The Animation,positive,2
Deadman Wonderland,positive,2
Saint Seiya: Meiou Hades Juuni Kyuu-hen,positive,2
Golden Time,positive,2
Dragon Ball Z,negative,0
Death Note,positive,2
To LOVE-Ru,neutral,1
Toradora!,positive,2
Soul Eater,positive,2
Steins;Gate: Oukoubakko no Poriomania,positive,2
Hanasakeru Seishounen,positive,2
Death Note,positive,2
Non Non Biyori,positive,2
Aria The Origination,positive,2
Yuu☆Yuu☆Hakusho: Eizou Hakusho II,negative,0
Inu x Boku SS,negative,0
Magi: The Labyrinth of Magic,positive,2
Zoids,positive,2
Danshi Koukousei no Nichijou,positive,2
True Tears,positive,2
Fate/Zero,positive,2
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,negative,0
Kannagi: Moshimo Kannagi ga Attara...,positive,2
Kuroshitsuji,positive,2
School,neutral,1
Medarot Damashii,positive,2
Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,positive,2
Seitokai Yakuindomo,positive,2
Initial D Third Stage,positive,2
Madan no Ou to Vanadis,positive,2
Cat Shit One,negative,0
Pokemon: Mewtwo! Ware wa Koko ni Ari,positive,2
Kyousou Giga (TV) Recaps,neutral,1
Dragon Ball GT: Goku Gaiden! Yuuki no Akashi wa Suushinchuu,positive,2
One Piece Film: Strong World,positive,2
Tokyo Godfathers,positive,2
Howl no Ugoku Shiro,positive,2
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,positive,2
Dogs: Bullets &amp; Carnage,positive,2
xxxHOLiC Shunmuki,positive,2
Suzumiya Haruhi no Yuuutsu,positive,2
Howl no Ugoku Shiro,negative,0
Mai-HiME Specials,positive,2
"Ore, Twintail ni Narimasu.",positive,2
Kotonoha no Niwa,positive,2
Magi: The Labyrinth of Magic,negative,0
Mekakucity Actors,positive,2
Gantz 2nd Stage,negative,0
One Piece Film: Gold Episode 0 - 711 ver.,positive,2
Blood+,negative,0
Black Bullet,positive,2
Naruto: Shippuuden Movie 1,negative,0
Angel Beats!,positive,2
Kimagure Orange☆Road OVA,positive,2
White Album 2,negative,0
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,positive,2
Onegai☆Twins,neutral,1
Uchuu no Kishi Tekkaman Blade,negative,0
Haiyore! Nyaruko-san W,positive,2
Grenadier: Hohoemi no Senshi,positive,2
Yu☆Gi☆Oh!,positive,2
Space☆Dandy 2nd Season,positive,2
Sword Art Online II,negative,0
Fullmetal Alchemist,positive,2
Onegai☆Twins,positive,2
Kurokami The Animation,negative,0
Yuru Yuri♪♪,positive,2
Chuunibyou demo Koi ga Shitai!,positive,2
Tokyo Ghoul,positive,2
Chrome Shelled Regios,positive,2
Bokusatsu Tenshi Dokuro-chan,negative,0
Toaru Majutsu no Index,positive,2
True Tears,positive,2
Freezing Vibration,positive,2
Fate/stay night,positive,2
